Id;Azonosito;Nev;Email;Telefon
1;DIAK001;Kovács Anna;kovacs.anna@iskola.hu;+36301234567
2;DIAK002;Nagy Bence;nagy.bence@iskola.hu;+36305551234
3;DIAK003;Szabó Laura;szabo.laura@iskola.hu;+36305552345
4;DIAK004;Tóth Márk;toth.mark@iskola.hu;+36305553456
5;DIAK005;Varga Eszter;varga.eszter@iskola.hu;+36305554567
6;DIAK006;Kiss Dániel;kiss.daniel@iskola.hu;+36305555678
7;DIAK007;Horváth Nóra;horvath.nora@iskola.hu;+36305556789
8;DIAK008;Farkas Máté;farkas.mate@iskola.hu;+36305557890
9;DIAK009;Balogh Réka;balogh.reka@iskola.hu;+36305558901
10;DIAK010;Molnár Péter;molnar.peter@iskola.hu;+36305559012
